player_name,top-speed,distance,sprints,intensive-runs
Wataru Endo,32.51,365.0,597.0,2384.0
Cebio Soukou,32.51,62.0,141.0,433.0
Lucas Tousart,32.51,287.8,375.0,1744.0
Nils Seufert,32.5,49.0,88.0,299.0
Benjamin Stambouli,32.47,222.2,302.0,1188.0
Daniel Caligiuri,32.46,321.8,753.0,2194.0
Max Kruse,32.45,186.7,408.0,1295.0
Admir Mehmedi,32.45,111.2,258.0,838.0
Daishawn Redan,32.44,14.9,41.0,128.0
Santiago Arias,32.43,11.4,34.0,75.0
Stefan Posch,32.39,262.6,433.0,1502.0
Douglas Costa,32.39,40.6,104.0,305.0
Timothy Chandler,32.39,56.7,160.0,426.0
Mats Hummels,32.38,310.1,425.0,1509.0
Julian Ryerson,32.34,147.8,221.0,948.0
Joscha Wosz,32.33,4.5,14.0,33.0
Diadie Samassékou,32.33,316.2,347.0,1950.0
Thorgan Hazard,32.33,88.0,233.0,687.0
Joel Pohjanpalo,32.32,109.9,206.0,715.0
Mahmoud Dahoud,32.32,176.0,209.0,1107.0
Mateu Morey,32.31,96.6,225.0,623.0
Erik Thommy,32.3,44.0,125.0,371.0
Fabian Kunze,32.3,171.3,235.0,959.0
Wout Weghorst,32.28,364.9,883.0,2693.0
Jacob Bruun Larsen,32.26,10.9,32.0,83.0
Daichi Kamada,32.26,307.1,574.0,1984.0
Xaver Schlager,32.26,332.3,509.0,2126.0
Marco Reus,32.26,289.2,764.0,2150.0
Kevin Kampl,32.25,250.5,330.0,1562.0
Kasim Adams,32.25,111.1,151.0,620.0
Márton Dárdai,32.25,97.0,118.0,522.0
Robin Quaison,32.23,185.8,426.0,1480.0
Dominick Drexler,32.23,157.8,415.0,1199.0
Shkodran Mustafi,32.22,111.8,137.0,492.0
Peter Pekarík,32.19,219.4,519.0,1453.0
Ishak Belfodil,32.18,67.8,133.0,365.0
Tin Jedvaj,32.18,18.8,41.0,128.0
Yannick Gerhardt,32.17,253.4,612.0,2059.0
Amadou Haidara,32.14,246.0,496.0,1649.0
Maximilian Beier,32.14,2.6,8.0,25.0
Joakim Nilsson,32.14,258.1,376.0,1481.0
William,32.12,58.4,145.0,449.0
Dennis Borkowski,32.12,2.2,3.0,13.0
Nadiem Amiri,32.12,250.6,452.0,1604.0
Felix Passlack,32.11,46.3,138.0,381.0
Omar Mascarell,32.1,235.1,322.0,1478.0
Jean-Manuel Mbom,32.1,153.7,315.0,1058.0
Luca Kilian,32.1,47.2,66.0,232.0
Mattéo Guendouzi,32.1,234.1,404.0,1522.0
Marcus Ingvartsen,32.09,260.2,624.0,2105.0
Alexander Hack,32.09,159.8,190.0,688.0
László Bénes,32.08,108.0,212.0,739.0
Alexander Schwolow,32.07,141.2,16.0,103.0
Dominique Heintz,32.06,158.7,141.0,635.0
Marco John,32.05,127.4,343.0,975.0
Baptiste Santamaria,32.02,305.1,451.0,1767.0
Orel Mangala,32.01,258.6,479.0,1736.0
Marcel Halstenberg,31.99,197.2,304.0,1076.0
Marco Richter,31.99,183.8,467.0,1289.0
Lars Stindl,31.98,266.6,352.0,1739.0
Bas Dost,31.94,97.6,156.0,516.0
Marcel Hartel,31.94,240.2,411.0,1680.0
Lars Bender,31.91,121.9,234.0,817.0
Julian Baumgartlinger,31.91,149.1,180.0,913.0
Josuha Guilavogui,31.9,94.1,164.0,578.0
Nassim Boujellab,31.89,81.9,157.0,581.0
Joshua Kimmich,31.89,306.8,430.0,1794.0
Patrick Herrmann,31.88,125.0,274.0,831.0
Manuel Prietl,31.87,350.7,375.0,1898.0
Javi Martinez,31.85,56.9,92.0,321.0
Jude Bellingham,31.85,220.6,456.0,1657.0
Florian Kainz,31.82,54.2,122.0,365.0
Niclas Füllkrug,31.81,111.8,232.0,731.0
Marek Suchý,31.81,35.4,56.0,185.0
Tobias Strobl,31.81,243.0,337.0,1420.0
Felix Klaus,31.8,19.9,39.0,169.0
Salif Sané,31.78,116.7,168.0,619.0
Leandro Barreiro,31.78,315.3,603.0,2466.0
Ondrej Duda,31.78,348.2,561.0,2399.0
Robert Andrich,31.77,337.7,443.0,2135.0
Nishan Burkart,31.77,2.6,5.0,21.0
Ludwig Augustinsson,31.77,250.8,463.0,1544.0
Nils Petersen,31.76,171.1,314.0,1103.0
Tim Civeja,31.75,5.9,12.0,42.0
Maximilian Arnold,31.74,337.6,515.0,2156.0
Sebastian Andersson,31.74,132.3,270.0,938.0
Sven Bender,31.71,147.1,193.0,749.0
Florian Neuhaus,31.71,336.4,320.0,1646.0
Changhoon Kwon,31.7,32.0,95.0,270.0
Ellyes Skhiri,31.7,396.2,586.0,2536.0
Jonas Hector,31.68,166.3,324.0,1257.0
Josip Stanišic,31.67,11.8,40.0,90.0
John Anthony Brooks,31.66,304.5,391.0,1545.0
Håvard Nordtveit,31.65,78.6,116.0,415.0
Saša Kalajdžic,31.65,261.3,553.0,1821.0
Alfreð Finnbogason,31.65,73.0,185.0,573.0
Ahmed Kutucu,31.64,14.4,25.0,98.0
Atakan Karazor,31.63,129.5,171.0,679.0
Jacob Laursen,31.63,141.4,306.0,1040.0
Nicolas Höfler,31.62,343.9,612.0,2236.0
Keven Schlotterbeck,31.62,190.0,199.0,758.0
Danny Latza,31.62,246.3,539.0,1972.0
Kerim Çalhanoglu,31.61,35.9,100.0,273.0
Brian Behrendt,31.61,10.2,31.0,68.0
Dennis Geiger,31.6,83.7,153.0,581.0
Leonardo Bittencourt,31.6,194.2,391.0,1305.0
Klauss,31.59,7.0,17.0,42.0
Carlos Gruezo,31.53,250.9,355.0,1370.0
Péter Gulácsi,31.51,190.9,21.0,114.0
Janik Haberer,31.51,68.5,148.0,471.0
Niko Gießelmann,31.5,60.9,119.0,390.0
Melayro Bogarde,31.48,33.6,67.0,223.0
Christian Groß,31.47,181.4,241.0,925.0
Niklas Tauer,31.47,10.9,15.0,67.0
Elvis Rexhbecaj,31.46,248.0,367.0,1546.0
Luca Schuler,31.44,5.3,13.0,42.0
Lucas Alario,31.44,144.1,225.0,795.0
Willi Orban,31.42,274.5,365.0,1324.0
Johannes Eggestein,31.42,5.6,14.0,52.0
Dani Olmo,31.41,269.6,550.0,1965.0
Florian Niederlechner,31.39,227.4,488.0,1520.0
Santiago Ascacíbar,31.39,106.5,160.0,659.0
Benno Schmitz,31.36,50.6,78.0,227.0
Mitchell Weiser,31.36,27.8,46.0,178.0
Maximilian Eggestein,31.35,388.1,550.0,2656.0
Timo Horn,31.35,188.1,12.0,69.0
Jonas Michelbrink,31.35,5.9,10.0,37.0
Pascal Stenzel,31.33,153.4,200.0,918.0
Daniel Didavi,31.3,122.9,318.0,957.0
Abass Issah,31.28,3.3,9.0,23.0
Emrehan Gedikli,31.28,2.7,6.0,18.0
Blendi Idrizi,31.26,31.3,58.0,210.0
Naouirou Ahamada,31.24,32.1,60.0,216.0
Robin Zentner,31.24,149.8,27.0,100.0
Tolu Arokodare,31.23,16.2,38.0,119.0
Robert Glatzel,31.22,52.5,124.0,388.0
Sebastian Rode,31.19,213.6,417.0,1624.0
Corentin Tolisso,31.15,104.7,200.0,758.0
Joshua Zirkzee,31.06,11.1,21.0,52.0
Lazar Samardžic,31.04,27.4,48.0,214.0
Koen Casteels,31.01,180.7,19.0,104.0
Vasilios Pavlidis,30.99,1.0,3.0,7.0
Jiri Pavlenka,30.98,169.6,14.0,72.0
Bartosz Bialek,30.95,38.6,85.0,258.0
Goncalo Paciencia,30.94,87.9,160.0,527.0
Michel Vlap,30.92,52.9,122.0,420.0
Marwin Hitz,30.89,84.4,4.0,28.0
Nabil Bentaleb,30.88,69.1,115.0,462.0
Rani Khedira,30.86,243.1,382.0,1757.0
Kerem Demirbay,30.85,234.1,434.0,1714.0
Amin Younes,30.79,181.0,301.0,1243.0
Raphaël Guerreiro,30.77,271.7,574.0,1808.0
Jóan Símun Edmundsson,30.77,9.6,27.0,91.0
Kevin Möhwald,30.76,197.2,213.0,1086.0
Andreas Luthe,30.75,198.7,5.0,54.0
Sami Khedira,30.69,53.3,84.0,358.0
Robin Knoche,30.67,370.6,385.0,1736.0
Stefan Bell,30.66,143.2,164.0,692.0
Sava-Arangel Cestic,30.6,103.6,119.0,445.0
Akaki Gogia,30.59,21.2,54.0,162.0
Ádám Szalai,30.52,95.7,159.0,715.0
Axel Witsel,30.52,140.4,147.0,810.0
Ermin Bicakcic,30.51,14.6,19.0,86.0
Can Bozdogan,30.49,90.6,147.0,708.0
Christian Gentner,30.49,138.3,259.0,1011.0
Dong-Won Ji,30.49,11.3,33.0,99.0
Stefan Ortega,30.48,186.7,23.0,129.0
Ibrahima Traoré,30.47,15.5,36.0,113.0
Steffen Tigges,30.46,9.7,28.0,92.0
Jan Morávek,30.45,37.7,41.0,257.0
Kevin Stöger,30.4,78.7,203.0,660.0
Exequiel Palacios,30.32,77.0,154.0,594.0
Yuya Osako,30.31,100.0,189.0,734.0
Aleksandar Dragovic,30.31,135.3,210.0,781.0
Christoph Kramer,30.26,275.8,292.0,1517.0
Aarón Martín,30.23,32.6,94.0,238.0
Frederik Sørensen,30.22,11.9,17.0,57.0
Klaas-Jan Huntelaar,30.21,73.6,139.0,531.0
Hamadi Al Ghaddioui,30.17,7.4,17.0,60.0
Paulinho,30.16,7.9,19.0,57.0
Miloš Veljkovic,30.13,199.6,165.0,783.0
Florian Hübner,30.11,66.4,70.0,344.0
Kevin Trapp,30.1,164.6,12.0,94.0
Tony Jantschke,30.02,34.8,50.0,202.0
Joshua Brenet,30.0,0.2,1.0,1.0
Frederik Rønnow,29.98,56.1,5.0,22.0
Lukas Petkov,29.96,0.6,1.0,2.0
Sebastian Müller,29.96,1.6,4.0,18.0
Ajdin Hrustic,29.94,41.9,82.0,291.0
Christopher Scott,29.93,4.7,15.0,33.0
Amir Abrashi,29.91,9.4,22.0,65.0
Davy Klaassen,29.91,28.3,44.0,194.0
Philipp Klement,29.9,60.0,96.0,419.0
Niklas Moisander,29.79,141.0,175.0,723.0
Marcin Kaminski,29.77,26.2,35.0,134.0
Roman Bürki,29.7,90.9,4.0,40.0
Max Meyer,29.66,50.3,61.0,303.0
Philipp Pentke,29.64,15.1,3.0,11.0
Patrick Erras,29.6,5.0,10.0,45.0
Mohamed Sankoh,29.57,2.4,10.0,21.0
Tobias Sippel,29.57,19.8,2.0,9.0
Paul Nebel,29.51,7.9,23.0,77.0
Charles Aránguiz,29.4,229.0,324.0,1727.0
Anthony Modeste,29.36,24.2,44.0,140.0
Rafal Gikiewicz,29.26,210.9,20.0,123.0
Eduard Löwen,29.15,13.5,25.0,90.0
Tim Maciejewski,29.11,1.1,4.0,9.0
Leon Dajaku,29.09,6.0,15.0,57.0
Mickaël Cuisance,29.04,2.4,4.0,20.0
Tanguy Nianzou,29.02,14.9,21.0,81.0
Yann Sommer,28.97,157.0,7.0,66.0
Tiago Dantas,28.91,9.3,18.0,55.0
Gregor Kobel,28.69,181.5,14.0,114.0
Marten Winkler,28.55,0.5,1.0,5.0
Manuel Neuer,28.52,168.7,45.0,242.0
Marc Roca,28.38,25.4,26.0,156.0
Jimmy Kaparos,28.23,2.7,5.0,17.0
Marco Höger,28.18,7.0,17.0,49.0
Lennart Grill,28.18,21.0,1.0,14.0
Joshua Mees,28.03,1.3,4.0,14.0
Rocco Reitz,27.77,8.9,15.0,49.0
Omar Marmoush,27.54,0.6,4.0,6.0
Lukáš Hrádecký,27.27,166.0,16.0,94.0
Michael Langer,27.14,13.8,1.0,8.0
Tim Siersleben,27.07,4.0,2.0,15.0
Ralf Fährmann,27.04,124.3,13.0,73.0
Levent Mercan,26.75,1.0,3.0,13.0
Finn Dahmen,26.68,17.9,1.0,8.0
